선명,역명,주소,위도,경도
1호선,소요산,경기도 동두천시 상봄암동 126-3,37.948655,127.060991
1호선,동두천,경기도 동두천시 동두천동 245-31,37.927878,127.05479
1호선,보산,경기도 동두천시 보산동 422,37.913702,127.057277
1호선,동두천중앙,경기도 동두천시 생연동 726-3,37.901885,127.056482
1호선,지행,동두천시 지행동 481-2,37.892334,127.055716
1호선,덕정,경기도 양주시 덕정동 350-14,37.843331,127.061513
1호선,덕계,경기도 양주시 덕계동 209-5,37.818486,127.056486
1호선,양주,경기도 양주시 남방동 94-1,37.774381,127.044708
1호선,녹양,경기도 의정부시 녹양동 96-1,37.75938,127.042292
1호선,가능,경기도 의정부시 가능동 197-1,37.748577,127.044213
1호선,의정부,경기도 의정부시 의정부동 168-54,37.738415,127.045958
1호선,회룡,경기도 의정부시 호원동 50-5(회룡역),37.724846,127.046895
1호선,망월사,경기도 의정부시 호원동 50-5,37.709914,127.047455
1호선,도봉산,서울특별시 도봉구 도봉동 301-5,37.689313,127.046222
1호선,도봉 ,서울시 도봉구 도봉2동 639,37.679563,127.045595
1호선,방학,서울시 도봉구 도봉로 150다길 3,37.667503,127.044273
1호선,창동,서울특별시 도봉구 마들로 11길 77(창동역 1호선),37.653166,127.047731
1호선,녹천,서울특별시 도봉구 창동 57-11,37.644799,127.051269
1호선,월계,서울특별시 노원구 월계동 263-1,37.633212,127.058831
1호선,광운대,노원구 월계동 85,37.623632,127.061835
1호선,석계,서울특별시 노원구 월계동 36-4,37.614805,127.065851
1호선,신이문,서울특별시 동대문구 이문동 7,37.601854,127.067325
1호선,외대앞,서울특별시 동대문구 이문동 360-5,37.596073,127.063549
1호선,회기,서울특별시 동대문구 휘경동 317-101,37.58946,127.057583
1호선,청량리,서울특별시 동대문구 전농동 620-69 청량리역(1호선),37.580178,127.046835
1호선,제기동,서울특별시 동대문구 제기동 65 제기동역(1호선),37.578103,127.034893
1호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),37.575994,127.024345
1호선,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.573231,127.016451
1호선,동대문,서울특별시 종로구 창신동 492-1 동대문역(1호선),37.57142,127.009745
1호선,종로5가,서울특별시 종로구 종로5가 82-1 종로5가역(1호선),37.570926,127.001849
1호선,종로3가,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),37.571607,126.991806
1호선,종각,서울특별시 종로구 종로1가 54 종각역(1호선),37.570161,126.982923
1호선,시청,서울특별시 중구 정동 5-5 시청역(1호선),37.564718,126.977108
1호선,서울,서울특별시 중구 남대문로5가 73-6 서울역(1호선),37.554648,126.972559
1호선,남영,서울특별시 용산구 갈월동 96-1,37.541021,126.9713
1호선,용산,서울 용산구 한강로3가 40-999,37.529849,126.964561
1호선,노량진,서울특별시 동작구 노량진동 67-2,37.514219,126.942454
1호선,대방,서울특별시 영등포구 신길동 1368-3,37.513342,126.926382
1호선,신길,서울특별시 영등포구 신길동 41-1,37.517122,126.917169
1호선,영등포,서울특별시 영등포구 영등포동 618-496,37.515504,126.907628
1호선,신도림,서울시 구로구 신도림동 460-26,37.508725,126.891295
1호선,구로,서울특별시 구로구 구로동 585-3,37.503039,126.881966
1호선,구일,서울시 구로구 구로1동 642-7,37.496151,126.869558
1호선,개봉,서울특별시 구로구 개보동 415,37.494594,126.85868
1호선,오류동,서울시 구로구 오류동 66,37.494369,126.844694
1호선,온수,서울시 구로구 온수동51-7,37.492258,126.823388
1호선,역곡,경기도 부천시 원미곡 역곡동 382,37.485178,126.811502
1호선,소사,경기도 부천시 소사구 소사본동 395,37.482753,126.79544
1호선,부천,경기도 부천시 소사구 심곡본동 316-2,37.48405,126.782686
1호선,중동,경기도 부천시 송내동 632번지,37.486562,126.764843
1호선,송내,경기도 부천시 소사구 송내동 632-4,37.4876,126.753664
1호선,부개,인천광역시 부평구 부개동 468,37.488418,126.74109
1호선,부평,인천광역시 부평구 부평동 738-21,37.489493,126.724805
1호선,백운,인천광역시 부평구 십정동 541-1,37.483664,126.707704
1호선,동암,인천 부평구 십정2동474-1,37.471408,126.702896
1호선,간석,인천광역시 남동구 간석4동 762번지,37.464737,126.694181
1호선,주안,인천광역시 남구 주안동 125,37.464941,126.679923
1호선,도화,도화동 668,37.46607,126.668672
1호선,제물포,인천광역시 미추홀구 숭의동 450-39,37.466769,126.656666
1호선,도원,인천광역시 동구 창영동 179-1번지,37.468446,126.642706
1호선,동인천,인천광역시 중구 인현동 1-613,37.475276,126.632802
1호선,인천,인천광역시 중구,37.476691,126.616936
1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,37.481371,126.88268
1호선,독산,서울특별시 금천구 가산동 717,37.466613,126.889249
1호선,금천구청,서울특별시 금천구 시흥대로63길 91,37.455626,126.89398
